Comment,Designator,Footprint,LCSC,Quantity
100nF,"C15,C20,C22,C24,C26,C3,C4,C9,C99",C_0402,C1525,9
100Ω,R5,R_0805,C17408,1
10kΩ,"R19,R20,R21,R26,R27,R28,R29",R_0603,C25804,7
10uF,C7,C_0603,C19702,1
1kΩ,R3,R_0402,C11702,1
1uF,"C11,C12,C13,C14,C16,C23,C25",C_0402,C52923,7
22uF,C100,C_0603,C59461,1
22Ω,"R10,R11,R12,R15,R16,R17,R18,R22,R30,R31,R32,R8,R9",R_0402,C25092,13
4.7kΩ,"R13,R14",R_0402,C25900,2
4.7uF,"C17,C18,C19",C_0402,C23733,3
5.1kΩ,"R1,R2",R_0402,C25905,2
ESD5341N-2/TR,D1,DFN1006-2L-RD,C239773,1
ESP32-C5-WROOM-1U-N8R8,U1,COMM-SMD_32P-L21.2-W18.0_ESP32-C5-WROOM-1U,C51950748,1
FPC24-T1T1-2021-A,FPC1,FPC-SMD_FPC24-T1T1-2021-A,C52740865,1
KT-0603R,LED1,LED-SMD_L1.6-W0.8-R-RD,C2286,1
SN74LVC1G34DBVR,U5,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C840096,1
SS34,"D2,D3",D_SMA,C8678,2
SW_Push,"SW1,SW2",KEY-SMD_B3U-1000PM,C231329,2
TF-115-BCP9,Card1,TF-SMD_TF-115-BCP9,C720505,1
TLV76733DRVx,U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C2848334,1
USBLC6-2P6,U2,SOT-666,C22390016,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C5184243,1
XC6206-2.8V,U4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C2892669,1
XC6206P152MR-MS,U7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C30197512,1
Conn_01x02_Pin,J4,SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm,,1
Conn_01x02_Pin,J3,SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm,,1
