Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C100,22uF,C_0603,140.6,-60.27,90.0,top
C11,1uF,C_0402,145.57,-84.35,-90.0,top
C12,1uF,C_0402,142.57,-86.04,0.0,top
C13,1uF,C_0402,141.06,-92.34,180.0,top
C14,1uF,C_0402,142.5,-96.34,180.0,top
C15,100nF,C_0402,154.61,-93.08,-90.0,top
C16,1uF,C_0402,152.8,-93.11,-90.0,top
C17,4.7uF,C_0402,139.15,-81.49,-90.0,top
C18,4.7uF,C_0402,138.59,-83.7925,0.0,top
C19,4.7uF,C_0402,131.55125,-92.15,90.0,top
C20,100nF,C_0402,138.78,-65.44,0.0,top
C22,100nF,C_0402,153.32,-84.8,0.0,top
C23,1uF,C_0402,160.67,-92.04,0.0,top
C24,100nF,C_0402,157.37,-85.03,-90.0,top
C25,1uF,C_0402,153.71,-93.08,-90.0,top
C26,100nF,C_0402,154.77,-83.75,90.0,top
C3,100nF,C_0402,125.61,-83.9,90.0,top
C4,100nF,C_0402,125.62,-75.935,180.0,top
C7,10uF,C_0603,139.48,-66.49,0.0,top
C9,100nF,C_0402,132.50125,-92.15,90.0,top
C99,100nF,C_0402,141.76,-60.58,90.0,top
Card1,TF-115-BCP9,TF-SMD_TF-115-BCP9,131.3725,-66.46,-90.0,top
D1,ESD5341N-2/TR,DFN1006-2L-RD,133.53125,-92.24,90.0,top
D2,SS34,D_SMA,135.89,-88.27,-90.0,top
D3,SS34,D_SMA,139.53,-88.27,-90.0,top
FPC1,FPC24-T1T1-2021-A,FPC-SMD_FPC24-T1T1-2021-A,152.14,-88.345,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,126.73125,-94.74,-90.0,top
J3,Conn_01x02_Pin,SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm,141.28,-102.28,180.0,top
J4,Conn_01x02_Pin,SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm,134.18,-102.26,180.0,top
LED1,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,130.76,-83.45,180.0,top
R1,5.1kΩ,R_0402,131.34125,-94.05,0.0,top
R10,22Ω,R_0402,146.31,-82.45,90.0,top
R11,22Ω,R_0402,147.19,-82.45,90.0,top
R12,22Ω,R_0402,148.06,-82.45,90.0,top
R13,4.7kΩ,R_0402,160.74,-82.22,-90.0,top
R14,4.7kΩ,R_0402,161.31,-84.4,90.0,top
R15,22Ω,R_0402,148.93,-82.45,90.0,top
R16,22Ω,R_0402,149.78,-82.45,90.0,top
R17,22Ω,R_0402,151.44,-82.45,90.0,top
R18,22Ω,R_0402,152.43,-82.45,90.0,top
R19,10kΩ,R_0603,126.46,-86.25,180.0,top
R2,5.1kΩ,R_0402,131.39125,-96.21,0.0,top
R20,10kΩ,R_0603,126.65,-80.705,180.0,top
R21,10kΩ,R_0603,156.29,-82.4,90.0,top
R22,22Ω,R_0402,153.32,-82.45,90.0,top
R26,10kΩ,R_0603,156.6,-93.35,0.0,top
R27,10kΩ,R_0603,133.05,-76.19,90.0,top
R28,10kΩ,R_0603,131.81,-76.19,90.0,top
R29,10kΩ,R_0603,130.57,-76.19,90.0,top
R3,1kΩ,R_0402,128.23,-83.49,0.0,top
R30,22Ω,R_0402,139.33,-67.66,180.0,top
R31,22Ω,R_0402,138.77,-64.29,180.0,top
R32,22Ω,R_0402,138.77,-62.08,180.0,top
R5,100Ω,R_0805,126.25,-78.155,90.0,top
R8,22Ω,R_0402,150.61,-82.45,90.0,top
R9,22Ω,R_0402,151.81,-93.1,-90.0,top
SW1,SW_Push,KEY-SMD_B3U-1000PM,123.49,-78.97,-90.0,top
SW2,SW_Push,KEY-SMD_B3U-1000PM,123.54,-84.47,-90.0,top
U1,ESP32-C5-WROOM-1U-N8R8,COMM-SMD_32P-L21.2-W18.0_ESP32-C5-WROOM-1U,152.05,-68.58,0.0,top
U2,USBLC6-2P6,SOT-666,135.49125,-95.2425,0.0,top
U3,TLV76733DRVx,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,137.44,-81.84,-90.0,top
U4,XC6206-2.8V,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,142.55,-93.77,180.0,top
U5,SN74LVC1G34DBVR,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,159.75,-94.87,0.0,top
U7,XC6206P152MR-MS,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,143.31,-83.88,270.0,top
